"datetime","open","high","low","close","Hp","Lp"
1630888200,51686.93,51687.59,51635.83,51659.51,51901.7695,51409.0469
1630888260,51659.51,51678.34,51635.73,51664.09,51901.7695,51409.0469
1630888320,51664.09,51724.47,51658.43,51722.9,51901.7695,51409.0469
1630888380,51722.89,51770,51720.3,51754.03,51901.7695,51409.0469
1630888440,51752.67,51768,51739.56,51739.57,51901.7695,51409.0469
1630888500,51739.56,51774.98,51739.56,51774.98,51901.7695,51409.0469
1630888560,51774.98,51783.2,51756,51760,51901.7695,51409.0469
1630888620,51760,51773.06,51697.92,51749.12,51901.7695,51409.0469
1630888680,51749.12,51769.99,51749.1,51762.48,51901.7695,51409.0469
1630888740,51762.48,51770,51735.97,51756.9,51901.7695,51409.0469
1630888800,51756.89,51761.61,51738.46,51748.16,51901.7695,51409.0469
1630888860,51748.19,51748.2,51712.65,51727.51,51901.7695,51409.0469
1630888920,51727.51,51770,51712.26,51756.23,51901.7695,51409.0469
1630888980,51756.23,51763.4,51718.4,51744.46,51901.7695,51409.0469
1630889040,51744.45,51814.31,51744.45,51812.42,51901.7695,51409.0469
1630889100,51812.41,51846.29,51775.26,51842.68,51901.7695,51409.0469
1630889160,51842.68,51849.99,51824.15,51833.98,51901.7695,51409.0469
1630889220,51833.97,51850,51829.65,51849.99,51901.7695,51409.0469
1630889280,51850,51853.16,51832.28,51839.91,51901.7695,51409.0469
1630889340,51839.91,51861.75,51791.9,51794.44,51901.7695,51409.0469
1630889400,51794.45,51799.99,51723.8,51749.99,51901.7695,51409.0469
1630889460,51750,51768.89,51736.95,51749.34,51901.7695,51409.0469
1630889520,51749.34,51766.6,51741,51743.82,51901.7695,51409.0469
1630889580,51743.82,51795.71,51740.52,51790.88,51901.7695,51409.0469
1630889640,51790.87,51800,51748.83,51748.83,51901.7695,51409.0469
1630889700,51746.19,51773.22,51736.02,51756.54,51901.7695,51409.0469
1630889760,51756.54,51784.17,51741.98,51755.53,51901.7695,51409.0469
1630889820,51756.06,51766.84,51748.48,51764.99,51901.7695,51409.0469
1630889880,51764.99,51790,51759.91,51760,51901.7695,51409.0469
1630889940,51760,51790,51752,51774.62,51901.7695,51409.0469
1630890000,51774.62,51774.84,51727.68,51734.5,51909.0898,51407.625
1630890060,51734.51,51745.77,51702.01,51702.01,51909.0898,51407.625
1630890120,51702.01,51720.04,51686.75,51702.18,51909.0898,51407.625
1630890180,51702.18,51739.37,51691.47,51733.61,51909.0898,51407.625
1630890240,51733.61,51733.63,51711.35,51721.51,51909.0898,51407.625
1630890300,51721.51,51750.51,51721.5,51721.52,51909.0898,51407.625
1630890360,51721.52,51742.16,51713.17,51719.96,51909.0898,51407.625
1630890420,51718.26,51718.27,51700.01,51705.01,51909.0898,51407.625
1630890480,51705.01,51736.05,51666.41,51682.82,51909.0898,51407.625
1630890540,51682.81,51717.71,51679.52,51717.71,51909.0898,51407.625
1630890600,51717.71,51745.61,51717.7,51725.66,51909.0898,51407.625
1630890660,51725.67,51741.43,51716.59,51726.87,51909.0898,51407.625
1630890720,51726.88,51760,51721.79,51753.92,51909.0898,51407.625
1630890780,51753.92,51755,51721.43,51722.72,51909.0898,51407.625
1630890840,51722.72,51837.86,51722.71,51816.82,51909.0898,51407.625
1630890900,51816.82,51820.31,51756.52,51773.26,51909.0898,51407.625
1630890960,51773.26,51802,51769.53,51799.85,51909.0898,51407.625
1630891020,51799.85,51815.7,51787.4,51806.42,51909.0898,51407.625
1630891080,51806.41,51838,51792.8,51835.34,51909.0898,51407.625
1630891140,51835.34,51849.36,51823.31,51827.49,51909.0898,51407.625
1630891200,51827.56,51855.25,51827.56,51844.91,51909.0898,51407.625
1630891260,51842.79,51880,51842.31,51873.98,51909.0898,51407.625
1630891320,51873.98,51900,51866.04,51887.24,51909.0898,51407.625
1630891380,51887.24,51930,51876.39,51904.2,51909.0898,51407.625
1630891440,51904.2,51911.52,51881.98,51888.59,51909.0898,51407.625
1630891500,51888.59,51929,51881.28,51900,51909.0898,51407.625
1630891560,51900.01,51920,51896.06,51896.07,51909.0898,51407.625
1630891620,51896.07,51928.99,51893.02,51924.54,51909.0898,51407.625
1630891680,51924.06,51961.46,51910.58,51928.55,51909.0898,51407.625
1630891740,51928.54,51928.55,51830.21,51869.99,51909.0898,51407.625
1630891800,51869.98,51911.59,51858.46,51908.76,51909.0898,51407.625
1630891860,51908.76,51932.94,51869.59,51881.19,51909.0898,51407.625
1630891920,51881.19,51881.96,51819.3,51836.88,51909.0898,51407.625
1630891980,51836.88,51836.89,51813.39,51827.4,51909.0898,51407.625
1630892040,51827.41,51835.54,51802.84,51802.85,51909.0898,51407.625
1630892100,51802.84,51809.65,51787.55,51789.99,51909.0898,51407.625
1630892160,51789.99,51819.95,51787.54,51798.7,51909.0898,51407.625
