,0,1,2,3,4,5,6,7,8,9,10
7,33786344,2022-10-13 15:40:03,SELL,0.03,XAUUSD,1658.67,1655.64,0.89,8.89,0.89 pips,
8,33745488,2022-10-12 16:10:00,SELL,0.1,XAUUSD,1672.18,1668.34,3.77,37.73,3.77 pips,
9,33744841,2022-10-12 16:09:59,SELL,0.1,XAUUSD,1671.06,1668.36,2.63,26.33,2.63 pips,
10,33744382,2022-10-12 16:07:55,SELL,0.05,XAUUSD,1670.13,1668.88,0.59,5.92,0.59 pips,
11,33744196,2022-10-12 16:09:55,SELL,0.05,XAUUSD,1668.56,1668.43,0.03,0.32,0.03 pips,
12,33744107,2022-10-12 16:09:54,SELL,0.05,XAUUSD,1668.92,1668.49,0.18,1.82,0.18 pips,
13,33743715,2022-10-12 16:09:48,SELL,0.05,XAUUSD,1669.06,1668.82,0.09,0.87,0.09 pips,
14,33743686,2022-10-12 15:35:13,SELL,0.05,XAUUSD,1667.45,1666.97,0.21,2.07,0.21 pips,
15,33743639,2022-10-12 16:09:57,SELL,0.05,XAUUSD,1666.44,1668.36,-0.99,-9.93,-0.99 pips,
16,33743511,2022-10-12 16:09:58,SELL,0.05,XAUUSD,1665.82,1668.41,-1.33,-13.28,-1.33 pips,
17,33704423,2022-10-11 16:59:15,SELL,0.1,XAUUSD,1672.41,1667.41,4.93,49.33,4.93 pips,
18,33702006,2022-10-11 16:31:27,SELL,0.1,XAUUSD,1672.51,1667.02,5.42,54.23,5.42 pips,
19,33701529,2022-10-11 16:59:11,SELL,0.1,XAUUSD,1671.11,1667.20,3.84,38.43,3.84 pips,1 2 3 4 5 6 ... 14
0,33700606,2022-10-11 16:59:09,SELL,0.08,XAUUSD,1669.72,1667.28,1.90,18.99,1.90 pips,
1,33699641,2022-10-11 16:59:04,SELL,0.06,XAUUSD,1667.81,1667.37,0.22,2.24,0.22 pips,
2,33699091,2022-10-11 16:59:09,SELL,0.06,XAUUSD,1667.37,1667.31,0.00,-0.04,0.00 pips,
3,33698398,2022-10-11 16:59:13,SELL,0.06,XAUUSD,1664.42,1667.34,-1.79,-17.92,-1.79 pips,
4,33698063,2022-10-11 16:59:13,SELL,0.06,XAUUSD,1664.04,1667.30,-2.00,-19.96,-2.00 pips,
5,33697564,2022-10-11 16:59:27,SELL,0.06,XAUUSD,1663.86,1667.51,-2.23,-22.30,-2.23 pips,
6,33697422,2022-10-11 16:59:26,SELL,0.06,XAUUSD,1663.54,1667.52,-2.43,-24.28,-2.43 pips,
7,33697277,2022-10-11 16:59:26,SELL,0.06,XAUUSD,1662.52,1667.52,-3.04,-30.40,-3.04 pips,
8,33696663,2022-10-11 16:59:25,SELL,0.04,XAUUSD,1662.00,1667.52,-2.24,-22.35,-2.24 pips,
9,33696582,2022-10-11 16:59:24,SELL,0.04,XAUUSD,1661.65,1667.51,-2.37,-23.71,-2.37 pips,
10,33622869,2022-10-07 16:00:36,SELL,0.04,XAUUSD,1697.39,1699.36,-0.82,-8.15,-0.82 pips,
11,33620237,2022-10-07 15:44:58,SELL,0.04,XAUUSD,1707.35,1701.43,2.34,23.41,2.34 pips,
12,33577721,2022-10-06 13:22:25,BUY,0.07,XAUUSD,1714.77,1716.36,1.07,10.65,1.07 pips,
13,33577629,2022-10-06 13:22:24,BUY,0.07,XAUUSD,1715.63,1716.43,0.51,5.12,0.51 pips,
14,33576810,2022-10-06 13:13:35,BUY,0.07,XAUUSD,1714.92,1716.39,0.98,9.81,0.98 pips,
15,33576726,2022-10-06 12:56:48,BUY,0.07,XAUUSD,1715.38,1715.50,0.04,0.36,0.04 pips,
16,33576604,2022-10-06 13:05:24,BUY,0.07,XAUUSD,1715.61,1716.20,0.37,3.65,0.37 pips,
17,33576561,2022-10-06 13:05:21,BUY,0.07,XAUUSD,1715.75,1716.25,0.30,3.02,0.30 pips,
18,33576469,2022-10-06 13:05:23,BUY,0.07,XAUUSD,1716.25,1716.27,-0.03,-0.34,-0.03 pips,
19,33576417,2022-10-06 13:13:30,BUY,0.07,XAUUSD,1716.39,1716.51,0.04,0.36,0.04 pips,1 2 3 4 5 6 7 ... 14
0,33576095,2022-10-06 12:43:37,BUY,0.05,XAUUSD,1716.22,1717.26,0.49,4.86,0.49 pips,
1,33499341,2022-10-04 14:45:04,BUY,0.05,XAUUSD,1704.77,1705.10,0.13,1.31,0.13 pips,
2,33499226,2022-10-04 14:45:05,BUY,0.05,XAUUSD,1704.09,1705.10,0.47,4.71,0.47 pips,
3,33454429,2022-10-03 14:21:31,SELL,0.06,XAUUSD,1664.63,1664.05,0.31,3.08,0.31 pips,
4,33454347,2022-10-03 14:21:32,SELL,0.03,XAUUSD,1664.52,1664.18,0.08,0.82,0.08 pips,
5,33408713,2022-09-30 15:42:52,BUY,0.06,XAUUSD,1666.86,1668.75,1.09,10.94,1.09 pips,
6,33359761,2022-09-29 13:43:19,BUY,0.06,XAUUSD,1648.40,1649.65,0.71,7.10,0.71 pips,
7,33359655,2022-09-29 13:43:17,BUY,0.04,XAUUSD,1648.51,1649.77,0.48,4.78,0.48 pips,
8,33359506,2022-09-29 13:43:15,BUY,0.04,XAUUSD,1648.80,1649.76,0.36,3.58,0.36 pips,
9,33359314,2022-09-29 13:43:08,BUY,0.04,XAUUSD,1649.00,1649.64,0.23,2.30,0.23 pips,
10,33302814,2022-09-28 13:32:44,SELL,0.04,XAUUSD,1627.08,1626.21,0.32,3.22,0.32 pips,
11,33302793,2022-09-28 13:32:40,SELL,0.04,XAUUSD,1626.45,1626.15,0.09,0.94,0.09 pips,
12,33255163,2022-09-27 15:42:40,SELL,0.05,XAUUSD,1640.34,1638.12,1.08,10.77,1.08 pips,
13,33255022,2022-09-27 15:42:39,SELL,0.05,XAUUSD,1639.60,1638.16,0.69,6.87,0.69 pips,
14,33254986,2022-09-27 15:42:41,SELL,0.05,XAUUSD,1638.99,1638.11,0.41,4.07,0.41 pips,
15,33254721,2022-09-27 15:28:45,SELL,0.05,XAUUSD,1639.55,1638.29,0.60,5.97,0.60 pips,
16,33254638,2022-09-27 15:28:54,SELL,0.04,XAUUSD,1638.95,1638.41,0.19,1.90,0.19 pips,
17,33254621,2022-09-27 15:30:03,SELL,0.04,XAUUSD,1638.41,1637.47,0.35,3.50,0.35 pips,
18,33253787,2022-09-27 15:42:42,SELL,0.04,XAUUSD,1637.00,1638.12,-0.47,-4.74,-0.47 pips,
19,33202509,2022-09-26 14:15:27,SELL,0.02,XAUUSD,1639.91,1639.43,0.08,0.83,0.08 pips,1 ... 4 5 6 7 8 ... 14
0,33202327,2022-09-26 14:11:49,SELL,0.02,XAUUSD,1639.28,1638.61,0.12,1.21,0.12 pips,
1,33141034,2022-09-23 14:05:55,SELL,0.03,XAUUSD,1644.75,1642.56,0.64,6.37,0.64 pips,
2,33140977,2022-09-23 14:05:54,SELL,0.03,XAUUSD,1643.49,1642.36,0.32,3.19,0.32 pips,
3,33098966,2022-09-22 15:32:32,SELL,0.06,XAUUSD,1675.00,1673.42,0.91,9.08,0.91 pips,
4,33098819,2022-09-22 15:32:18,SELL,0.06,XAUUSD,1674.51,1673.33,0.67,6.68,0.67 pips,
5,33098766,2022-09-22 15:32:30,SELL,0.06,XAUUSD,1673.46,1673.42,-0.02,-0.16,-0.02 pips,
6,33098710,2022-09-22 15:32:29,SELL,0.06,XAUUSD,1672.77,1673.51,-0.48,-4.84,-0.48 pips,
7,33035908,2022-09-21 14:22:02,BUY,0.06,XAUUSD,1673.46,1673.73,0.12,1.22,0.12 pips,
8,33035823,2022-09-21 14:27:32,BUY,0.06,XAUUSD,1673.67,1674.07,0.20,2.00,0.20 pips,
9,33035702,2022-09-21 14:28:59,BUY,0.06,XAUUSD,1674.25,1674.52,0.12,1.22,0.12 pips,
10,32997093,2022-09-20 14:52:40,SELL,0.05,XAUUSD,1668.68,1668.58,0.02,0.17,0.02 pips,
11,32996274,2022-09-20 14:37:22,SELL,0.05,XAUUSD,1668.67,1667.81,0.40,3.97,0.40 pips,
12,32951421,2022-09-19 14:56:35,SELL,0.1,XAUUSD,1662.57,1661.64,0.86,8.63,0.86 pips,
13,32951150,2022-09-19 14:48:51,SELL,0.1,XAUUSD,1661.99,1661.70,0.22,2.24,0.22 pips,
14,32950910,2022-09-19 14:50:45,SELL,0.06,XAUUSD,1662.50,1661.52,0.55,5.48,0.55 pips,
15,32950804,2022-09-19 14:36:53,SELL,0.06,XAUUSD,1662.92,1662.37,0.29,2.90,0.29 pips,
16,32950585,2022-09-19 14:36:52,SELL,0.06,XAUUSD,1662.30,1662.37,-0.08,-0.82,-0.08 pips,
17,32950538,2022-09-19 14:46:25,SELL,0.06,XAUUSD,1661.91,1661.55,0.18,1.76,0.18 pips,
