,0,1,2,3,4,5,6,7,8,9,10
4,46548567,2022-11-10 09:24:00,SELL,0.0037,EURUSD,1.00339,1.00168,0.06,0.63,0.06 pips,
5,46541009,2022-11-10 09:24:00,SELL,0.0024,EURUSD,1.00230,1.00168,0.01,0.15,0.01 pips,
6,46535452,2022-11-10 09:24:00,SELL,0.0016,EURUSD,1.00113,1.00168,-0.01,-0.09,-0.01 pips,
7,46532488,2022-11-10 09:24:00,SELL,0.001,EURUSD,1.00009,1.00168,-0.02,-0.16,-0.02 pips,
8,46528825,2022-11-09 21:31:05,SELL,0.001,EURUSD,1.00116,1.00053,0.01,0.06,0.01 pips,
9,46527429,2022-11-09 20:36:14,WITHDRAWAL,0.00,-5.89,,,,,,
10,46517042,2022-11-09 20:30:46,SELL,0.0016,EURUSD,1.00270,1.00172,0.02,0.16,0.02 pips,
11,46506860,2022-11-09 20:30:46,SELL,0.001,EURUSD,1.00175,1.00172,0.00,0.00,0.00 pips,
12,46500894,2022-11-09 16:29:16,SELL,0.001,EURUSD,1.00285,1.00225,0.01,0.06,0.01 pips,
13,46488427,2022-11-09 15:14:10,SELL,0.001,EURUSD,1.00448,1.00388,0.01,0.06,0.01 pips,
14,46481243,2022-11-09 12:06:44,SELL,0.001,EURUSD,1.00458,1.00397,0.01,0.06,0.01 pips,
15,46473805,2022-11-09 11:06:30,SELL,0.0016,EURUSD,1.00695,1.00590,0.02,0.17,0.02 pips,
16,46466590,2022-11-09 11:06:30,SELL,0.001,EURUSD,1.00579,1.00590,0.00,-0.01,0.00 pips,
17,46463721,2022-11-09 08:13:55,SELL,0.001,EURUSD,1.00688,1.00626,0.01,0.06,0.01 pips,
18,46459607,2022-11-09 06:04:11,SELL,0.0016,EURUSD,1.00806,1.00679,0.02,0.20,0.02 pips,
19,46454925,2022-11-09 06:04:11,SELL,0.001,EURUSD,1.00631,1.00679,0.00,-0.05,0.00 pips,1 2 3 4 5 6 7 ... 107
0,46447922,2022-11-09 02:23:33,SELL,0.001,EURUSD,1.00719,1.00659,0.01,0.06,0.01 pips,
1,46443846,2022-11-08 21:09:50,SELL,0.001,EURUSD,1.00665,1.00605,0.01,0.06,0.01 pips,
2,46438081,2022-11-08 20:30:12,SELL,0.0089,EURUSD,1.00924,1.00662,0.23,2.33,0.23 pips,
3,46434776,2022-11-08 20:30:12,SELL,0.0058,EURUSD,1.00831,1.00662,0.10,0.98,0.10 pips,
4,46428079,2022-11-08 20:30:12,SELL,0.0037,EURUSD,1.00659,1.00662,0.00,-0.01,0.00 pips,
5,46422835,2022-11-08 20:30:12,SELL,0.0024,EURUSD,1.00549,1.00662,-0.03,-0.27,-0.03 pips,
6,46410385,2022-11-08 20:30:12,SELL,0.0016,EURUSD,1.00102,1.00662,-0.09,-0.90,-0.09 pips,
7,46401528,2022-11-08 20:30:12,SELL,0.001,EURUSD,0.99932,1.00662,-0.07,-0.73,-0.07 pips,
8,46395501,2022-11-08 14:55:38,SELL,0.001,EURUSD,0.99939,0.99878,0.01,0.06,0.01 pips,
9,46392773,2022-11-08 12:23:55,SELL,0.001,EURUSD,1.00024,0.99962,0.01,0.06,0.01 pips,
10,46386815,2022-11-08 11:03:17,SELL,0.001,EURUSD,0.99816,0.99756,0.01,0.06,0.01 pips,
11,46382663,2022-11-08 10:01:19,SELL,0.001,EURUSD,0.99997,0.99933,0.01,0.06,0.01 pips,
12,46377131,2022-11-08 09:13:35,SELL,0.001,EURUSD,0.99948,0.99888,0.01,0.06,0.01 pips,
13,46362874,2022-11-08 07:13:53,SELL,0.02,EURUSD,1.00283,1.00038,0.49,4.90,0.49 pips,
14,46362505,2022-11-08 07:14:14,SELL,0.0055,EURUSD,1.00288,1.00036,0.14,1.39,0.14 pips,
15,46361422,2022-11-08 07:14:02,SELL,0.0058,EURUSD,1.00302,1.00036,0.15,1.54,0.15 pips,
16,46358311,2022-11-08 07:14:19,SELL,0.0037,EURUSD,1.00209,1.00033,0.07,0.65,0.07 pips,
17,46350944,2022-11-08 07:14:24,SELL,0.0024,EURUSD,1.00001,1.00033,-0.01,-0.08,-0.01 pips,
18,46317309,2022-11-08 07:14:31,SELL,0.0016,EURUSD,0.99860,1.00039,-0.03,-0.29,-0.03 pips,
19,46307448,2022-11-08 07:15:06,SELL,0.001,EURUSD,0.99271,1.00046,-0.08,-0.78,-0.08 pips,1 ... 4 5 6 7 8 ... 107
0,46300651,2022-11-07 09:25:21,SELL,0.0016,EURUSD,0.99437,0.99323,0.02,0.18,0.02 pips,
1,46295057,2022-11-08 07:15:18,SELL,0.005,EURUSD,0.99890,1.00042,-0.08,-0.76,-0.08 pips,
2,46293105,2022-11-07 09:25:21,SELL,0.001,EURUSD,0.99298,0.99323,0.00,-0.03,0.00 pips,
3,46292372,2022-11-08 07:15:35,SELL,0.005,EURUSD,0.99348,1.00040,-0.35,-3.46,-0.35 pips,
4,46288525,2022-11-07 03:13:14,SELL,0.001,EURUSD,0.99325,0.99263,0.01,0.06,0.01 pips,
5,46278890,2022-11-05 15:42:22,WITHDRAWAL,0.00,-1.71,,,,,,
6,46255242,2022-11-04 17:31:24,SELL,0.005,EURUSD,0.99299,0.99076,0.11,1.12,0.11 pips,
7,46251787,2022-11-04 17:29:21,SELL,0.01,EURUSD,0.99059,0.99000,0.06,0.59,0.06 pips,
8,46163747,2022-11-03 19:03:22,WITHDRAWAL,0.00,-8.42,,,,,,
9,46123272,2022-11-03 13:26:37,SELL,0.001,EURUSD,0.97438,0.97378,0.01,0.06,0.01 pips,
10,46116860,2022-11-03 12:17:49,SELL,0.001,EURUSD,0.97524,0.97463,0.01,0.06,0.01 pips,
11,46108501,2022-11-03 11:12:39,SELL,0.001,EURUSD,0.97672,0.97612,0.01,0.06,0.01 pips,
12,46098984,2022-11-03 10:02:17,SELL,0.001,EURUSD,0.97826,0.97764,0.01,0.06,0.01 pips,
13,46088290,2022-11-03 09:12:15,SELL,0.001,EURUSD,0.98094,0.98031,0.01,0.06,0.01 pips,
14,46077872,2022-11-03 08:05:44,SELL,0.0024,EURUSD,0.98361,0.98170,0.05,0.46,0.05 pips,
15,46075879,2022-11-03 08:05:44,SELL,0.0016,EURUSD,0.98254,0.98170,0.01,0.13,0.01 pips,
16,46070984,2022-11-03 08:05:44,SELL,0.001,EURUSD,0.98135,0.98170,0.00,-0.04,0.00 pips,
17,46038824,2022-11-02 20:37:28,SELL,0.005,EURUSD,0.99646,0.99263,0.19,1.92,0.19 pips,
18,46032922,2022-11-02 20:37:00,SELL,0.01,EURUSD,0.99419,0.99297,0.12,1.22,0.12 pips,
19,45918902,2022-11-01 16:00:02,SELL,0.001,EURUSD,0.99339,0.99276,0.01,0.06,0.01 pips,1 ... 5 6 7 8 9 ... 107
0,45911801,2022-11-01 13:11:16,SELL,0.001,EURUSD,0.99354,0.99294,0.01,0.06,0.01 pips,
1,45903463,2022-11-01 12:07:09,SELL,0.001,EURUSD,0.99329,0.99269,0.01,0.06,0.01 pips,
2,45899330,2022-11-01 11:16:32,SELL,0.001,EURUSD,0.99227,0.99165,0.01,0.06,0.01 pips,
3,45891347,2022-11-01 10:55:28,SELL,0.001,EURUSD,0.99284,0.99222,0.01,0.06,0.01 pips,
4,45876297,2022-11-01 09:26:09,SELL,0.0058,EURUSD,0.99342,0.99115,0.13,1.32,0.13 pips,
5,45871833,2022-11-01 09:26:09,SELL,0.0037,EURUSD,0.99243,0.99115,0.05,0.47,0.05 pips,
6,45863436,2022-11-01 06:58:40,DEPOSIT,0.00,0.04,,,,,,
7,45857770,2022-11-01 06:17:57,SELL,0.0025,EURUSD,0.99057,0.99054,0.00,0.01,0.00 pips,
8,45857194,2022-11-01 09:26:09,SELL,0.0024,EURUSD,0.99050,0.99115,-0.02,-0.16,-0.02 pips,
9,45852752,2022-11-01 09:26:09,SELL,0.01,EURUSD,0.99343,0.99115,0.23,2.28,0.23 pips,
10,45841675,2022-11-01 09:26:09,SELL,0.0016,EURUSD,0.98862,0.99115,-0.04,-0.40,-0.04 pips,
11,45838706,2022-11-01 09:26:09,SELL,0.001,EURUSD,0.98751,0.99115,-0.04,-0.36,-0.04 pips,
12,45835065,2022-10-31 18:58:46,SELL,0.001,EURUSD,0.98834,0.98771,0.01,0.06,0.01 pips,
13,45828821,2022-10-31 17:13:05,SELL,0.001,EURUSD,0.98888,0.98828,0.01,0.06,0.01 pips,
14,45821693,2022-10-31 16:38:06,SELL,0.001,EURUSD,0.98899,0.98839,0.01,0.06,0.01 pips,
15,45814431,2022-10-31 15:47:21,SELL,0.001,EURUSD,0.99080,0.99020,0.01,0.06,0.01 pips,
16,45808817,2022-10-31 14:07:05,SELL,0.001,EURUSD,0.99357,0.99297,0.01,0.06,0.01 pips,
17,45805015,2022-10-31 13:53:55,SELL,0.001,EURUSD,0.99320,0.99258,0.01,0.06,0.01 pips,
18,45800627,2022-10-31 12:43:58,SELL,0.0016,EURUSD,0.99459,0.99306,0.02,0.24,0.02 pips,
19,45796338,2022-10-31 12:43:58,SELL,0.001,EURUSD,0.99224,0.99306,-0.01,-0.08,-0.01 pips,1 ... 6 7 8 9 10 ... 107
0,45789177,2022-10-31 10:02:57,SELL,0.001,EURUSD,0.99287,0.99226,0.01,0.06,0.01 pips,
1,45784573,2022-10-31 09:10:53,SELL,0.001,EURUSD,0.99514,0.99454,0.01,0.06,0.01 pips,
2,45781233,2022-10-31 08:19:05,SELL,0.001,EURUSD,0.99471,0.99410,0.01,0.06,0.01 pips,
3,45777420,2022-10-31 07:48:29,SELL,0.0016,EURUSD,0.99636,0.99510,0.02,0.20,0.02 pips,
4,45774148,2022-10-31 07:48:29,SELL,0.001,EURUSD,0.99468,0.99510,0.00,-0.04,0.00 pips,
5,45767613,2022-10-31 03:32:01,SELL,0.001,EURUSD,0.99569,0.99509,0.01,0.06,0.01 pips,
6,45619745,2022-10-27 12:59:39,WITHDRAWAL,0.00,-4.26,,,,,,
7,45583011,2022-10-27 12:33:16,SELL,0.02,EURUSD,1.00868,1.00408,0.92,9.20,0.92 pips,
8,45580292,2022-10-27 12:33:18,SELL,0.02,EURUSD,1.00770,1.00408,0.72,7.24,0.72 pips,
