,0,1,2,3,4,5,6,7,8,9,10
11,33956746,2022-10-19 16:52:05,BUY,0.03,NZDCAD,0.77954,0.78060,0.22,2.24,0.22 pips,
12,33934460,2022-10-19 08:25:52,SELL,0.03,AUDCAD,0.86853,0.86748,0.22,2.21,0.22 pips,
13,33933579,2022-10-19 09:01:17,SELL,0.03,NZDCAD,0.78335,0.78226,0.23,2.30,0.23 pips,
14,33911029,2022-10-18 18:19:38,SELL,0.03,NZDCAD,0.78213,0.77978,0.51,5.05,0.51 pips,
15,33909027,2022-10-18 17:04:05,SELL,0.03,AUDCAD,0.86750,0.86643,0.23,2.26,0.23 pips,
16,33892958,2022-10-18 18:19:38,SELL,0.03,NZDCAD,0.77853,0.77978,-0.28,-2.79,-0.28 pips,
17,33892773,2022-10-18 13:27:25,BUY,0.03,AUDNZD,1.11027,1.11133,0.17,1.72,0.17 pips,
18,33888757,2022-10-18 04:57:31,SELL,0.03,NZDCAD,0.77704,0.77599,0.22,2.22,0.22 pips,
19,33883920,2022-10-17 23:20:42,SELL,0.03,AUDNZD,1.11786,1.11680,0.17,1.71,0.17 pips,1 2 3 4 5 6 ... 18
0,33850473,2022-10-17 04:09:51,BUY,0.03,NZDCAD,0.77039,0.77143,0.22,2.18,0.22 pips,
1,33846032,2022-10-15 01:06:10,WITHDRAWAL,0.00,-32.85,,,,,,
2,33787721,2022-10-13 16:20:40,BUY,0.03,NZDCAD,0.77123,0.77229,0.22,2.21,0.22 pips,
3,33787437,2022-10-13 16:09:49,BUY,0.03,AUDCAD,0.86290,0.86394,0.22,2.17,0.22 pips,
4,33776884,2022-10-13 13:36:16,SELL,0.03,NZDCAD,0.77725,0.77621,0.22,2.19,0.22 pips,
5,33758654,2022-10-12 21:39:42,SELL,0.03,NZDCAD,0.77561,0.77456,0.22,2.22,0.22 pips,
6,33758485,2022-10-13 06:04:51,SELL,0.03,AUDCAD,0.86762,0.86652,0.22,2.20,0.22 pips,
7,33733745,2022-10-12 12:08:45,BUY,0.03,AUDNZD,1.11871,1.11977,0.17,1.69,0.17 pips,
8,33728992,2022-10-12 10:00:18,BUY,0.03,AUDNZD,1.11935,1.12041,0.17,1.70,0.17 pips,
9,33721683,2022-10-12 07:03:36,BUY,0.03,AUDCAD,0.86367,0.86472,0.22,2.20,0.22 pips,
10,33712537,2022-10-11 21:08:37,SELL,0.03,NZDCAD,0.77519,0.77287,0.50,5.00,0.50 pips,
