num,time,side,lot,sym,o,c,pip,size,pips,
112802020,2022-07-30 09:29:46,DEPOSIT,0,0.23,,,,,,
112801980,2022-07-30 09:20:26,DEPOSIT,0,0.26,,,,,,
112801967,2022-07-30 09:17:42,DEPOSIT,0,0.66,,,,,,
112801952,2022-07-30 09:12:32,DEPOSIT,0,0.16,,,,,,
112801946,2022-07-30 09:12:06,DEPOSIT,0,0.07,,,,,,
112801940,2022-07-30 09:11:18,DEPOSIT,0,0.06,1 ... 5 6 7 8 9 ... 107,,,,,
112801905,2022-07-30 08:56:34,DEPOSIT,0,0.16,,,,,,
112801897,2022-07-30 08:52:55,DEPOSIT,0,0.16,,,,,,
112801893,2022-07-30 08:50:00,DEPOSIT,0,0.13,,,,,,
112801673,2022-07-30 08:18:49,DEPOSIT,0,0.16,,,,,,
112801618,2022-07-30 07:46:02,DEPOSIT,0,0.16,,,,,,
112801611,2022-07-30 07:40:06,DEPOSIT,0,0.01,,,,,,
112801610,2022-07-30 07:38:42,DEPOSIT,0,0.16,,,,,,
112801600,2022-07-30 07:31:40,DEPOSIT,0,0.12,,,,,,
112801543,2022-07-30 06:24:56,DEPOSIT,0,0.29,,,,,,
112801524,2022-07-30 05:49:50,DEPOSIT,0,0.46,,,,,,
112801509,2022-07-30 05:45:36,DEPOSIT,0,0.29,,,,,,
112801483,2022-07-30 05:16:40,DEPOSIT,0,0.17,,,,,,
112801479,2022-07-30 05:10:45,DEPOSIT,0,0.27,,,,,,
112801464,2022-07-30 05:02:25,DEPOSIT,0,0.25,,,,,,
112801434,2022-07-30 04:19:10,DEPOSIT,0,0.04,,,,,,
112801414,2022-07-30 04:07:55,DEPOSIT,0,0.52,,,,,,
112801395,2022-07-30 03:25:55,DEPOSIT,0,0.17,,,,,,
112801311,2022-07-30 00:25:13,DEPOSIT,0,0.05,,,,,,
112762643,2022-07-29 11:48:15,SELL,0.07,AUDNZD,1.11145,1.11053,0.39,3.85,0.39 pips,
112493996,2022-07-23 10:48:56,DEPOSIT,0,4.55,1 ... 6 7 8 9 10 ... 107,,,,,
112493990,2022-07-23 10:48:53,DEPOSIT,0,4.55,,,,,,
112493987,2022-07-23 10:48:53,DEPOSIT,0,0.46,,,,,,
112493981,2022-07-23 10:48:51,DEPOSIT,0,2.03,,,,,,
112493976,2022-07-23 10:48:50,DEPOSIT,0,2.27,,,,,,
112493965,2022-07-23 10:48:49,DEPOSIT,0,4.55,,,,,,
112493963,2022-07-23 10:48:48,DEPOSIT,0,4.55,,,,,,
112493958,2022-07-23 10:48:47,DEPOSIT,0,2.27,,,,,,
112493956,2022-07-23 10:48:47,DEPOSIT,0,1.72,,,,,,
112493950,2022-07-23 10:48:44,DEPOSIT,0,2.27,,,,,,
112493949,2022-07-23 10:48:44,DEPOSIT,0,2.79,,,,,,
