num,time,side,lot,sym,o,c,pip,size,pips
108016990,2022-04-26 12:15:03,BUY,0.0036,AUDCAD,0.91288,0.91781,0.14,1.29,0.14 pips
108016676,2022-04-26 06:15:02,BUY,0.0036,AUDCAD,0.9129,0.91779,0.14,1.28,0.14 pips
108014111,2022-04-26 16:45:00,BUY,0.0039,NZDCAD,0.84044,0.84673,0.19,1.79,0.19 pips
108013732,2022-04-26 16:15:01,BUY,0.0036,AUDCAD,0.9139,0.91941,0.15,1.44,0.15 pips
108011373,2022-04-26 13:00:01,BUY,0.0036,AUDCAD,0.91444,0.91855,0.11,1.08,0.11 pips
108009708,2022-04-26 12:30:01,BUY,0.0039,NZDCAD,0.84076,0.84509,0.13,1.23,0.13 pips
108009535,2022-04-26 13:45:02,BUY,0.0039,NZDCAD,0.84076,0.84537,0.14,1.32,0.14 pips
108009404,2022-04-26 12:15:03,BUY,0.0039,NZDCAD,0.84084,0.8448,0.12,1.13,0.12 pips
108002251,2022-05-03 16:44:45,BUY,0.0036,AUDCAD,0.9149,0.91346,-0.05,-0.47,-0.05 pips
107997264,2022-04-26 06:00:01,BUY,0.0036,AUDCAD,0.91569,0.91664,0.03,0.24,0.03 pips
107997093,2022-04-26 05:43:43,BUY,0.0036,AUDCAD,0.91557,0.91623,0.02,0.16,0.02 pips
107996736,2022-04-26 05:45:02,BUY,0.0036,AUDCAD,0.9155,0.91585,0.01,0.08,0.01 pips
107996483,2022-04-26 06:01:21,BUY,0.0091,AUDCAD,0.91553,0.91717,0.11,1.06,0.11 pips
107987702,2022-04-26 06:01:22,BUY,0.0036,AUDCAD,0.92004,0.91715,-0.08,-0.77,-0.08 pips
107712315,2022-04-21 07:15:01,SELL,0.0035,AUDNZD,1.0987,1.09524,0.08,0.76,0.08 pips
107712149,2022-04-21 07:15:01,SELL,0.0035,AUDNZD,1.09879,1.09526,0.08,0.77,0.08 pips
107516847,2022-04-19 18:41:10,WITHDRAWAL,0,-50,,,,,
107441063,2022-04-19 11:59:11,BUY,0.0041,NZDCAD,0.84716,0.85106,0.13,1.18,0.13 pips
107403654,2022-04-19 11:14:07,BUY,0.0041,NZDCAD,0.84799,0.84994,0.06,0.58,0.06 pips
107401311,2022-04-19 10:08:28,BUY,0.0095,AUDCAD,0.92756,0.92884,0.09,0.87,0.09 pips
107401111,2022-04-19 11:15:02,BUY,0.0041,NZDCAD,0.84815,0.84996,0.06,0.54,0.06 pips
107399839,2022-04-19 11:14:07,BUY,0.0041,NZDCAD,0.84842,0.84994,0.05,0.45,0.05 pips
107348833,2022-04-19 10:08:29,BUY,0.0038,AUDCAD,0.92981,0.92884,-0.03,-0.28,-0.03 pips
107158670,2022-04-14 10:30:00,SELL,0.0037,AUDNZD,1.09688,1.09182,0.13,1.16,0.13 pips
107153046,2022-04-14 04:43:41,SELL,0.0094,AUDNZD,1.09595,1.09435,0.1,0.91,0.10 pips
107091355,2022-04-14 07:30:01,SELL,0.0037,AUDNZD,1.09527,1.09288,0.06,0.54,0.06 pips
107091080,2022-04-14 07:30:01,SELL,0.0037,AUDNZD,1.09529,1.09285,0.06,0.55,0.06 pips
107090942,2022-04-14 10:15:00,SELL,0.0037,AUDNZD,1.0953,1.09244,0.07,0.65,0.07 pips
107089391,2022-04-14 08:15:00,SELL,0.0037,AUDNZD,1.09508,1.0926,0.06,0.56,0.06 pips
